timstamp,high,low,open,close
1621728000000,2295.45000000,2381.57000000,1728.74000000,2096.39000000
1621814400000,2096.63000000,2675.00000000,2079.94000000,2648.43000000
1621900800000,2647.92000000,2750.00000000,2378.54000000,2705.11000000
1621987200000,2705.10000000,2910.00000000,2643.00000000,2884.94000000
1622073600000,2884.82000000,2889.74000000,2633.68000000,2742.23000000
1622160000000,2742.23000000,2762.45000000,2327.38000000,2412.10000000
1622246400000,2412.34000000,2574.27000000,2204.10000000,2278.74000000
1622332800000,2278.74000000,2476.42000000,2180.53000000,2385.98000000
1622419200000,2385.82000000,2720.00000000,2271.44000000,2706.15000000
1622505600000,2706.15000000,2740.00000000,2523.74000000,2634.57000000
1622592000000,2634.31000000,2802.99000000,2550.00000000,2706.22000000
1622678400000,2706.21000000,2891.95000000,2662.40000000,2857.25000000
1622764800000,2857.25000000,2860.00000000,2552.00000000,2689.51000000
1622851200000,2689.54000000,2816.87000000,2552.23000000,2627.73000000
1622937600000,2627.63000000,2745.00000000,2614.00000000,2711.92000000
1623024000000,2711.92000000,2847.55000000,2570.00000000,2592.05000000
1623110400000,2592.05000000,2620.99000000,2304.91000000,2507.23000000
1623196800000,2507.43000000,2626.63000000,2405.28000000,2610.18000000
1623283200000,2610.20000000,2624.46000000,2425.11000000,2471.09000000
1623369600000,2471.01000000,2497.99000000,2321.37000000,2354.01000000
1623456000000,2354.09000000,2454.53000000,2256.22000000,2370.74000000
1623542400000,2370.64000000,2548.41000000,2308.41000000,2509.33000000
1623628800000,2509.33000000,2609.17000000,2461.00000000,2580.77000000
1623715200000,2580.58000000,2640.00000000,2507.70000000,2543.54000000
1623801600000,2543.55000000,2556.19000000,2351.18000000,2367.89000000
1623888000000,2368.02000000,2460.50000000,2306.00000000,2373.28000000
1623974400000,2373.28000000,2378.00000000,2139.00000000,2234.09000000
1624060800000,2234.09000000,2278.82000000,2161.67000000,2164.67000000
1624147200000,2165.34000000,2280.01000000,2040.68000000,2243.47000000
1624233600000,2243.49000000,2260.16000000,1865.54000000,1885.49000000
1624320000000,1885.27000000,1998.00000000,1700.48000000,1879.28000000
1624406400000,1879.29000000,2045.00000000,1821.95000000,1968.14000000
1624492800000,1967.95000000,2036.61000000,1884.79000000,1989.52000000
1624579200000,1989.53000000,2019.99000000,1791.22000000,1808.82000000
1624665600000,1808.97000000,1852.80000000,1717.32000000,1829.64000000
1624752000000,1829.84000000,1984.50000000,1804.26000000,1982.28000000
1624838400000,1982.27000000,2145.00000000,1960.52000000,2084.41000000
1624924800000,2084.42000000,2245.00000000,2073.57000000,2165.33000000
1625011200000,2165.46000000,2287.78000000,2087.99000000,2275.68000000
1625097600000,2275.68000000,2275.93000000,2073.12000000,2106.41000000
1625184000000,2106.41000000,2160.00000000,2018.50000000,2154.13000000
1625270400000,2153.95000000,2240.00000000,2112.01000000,2226.99000000
1625356800000,2226.99000000,2389.93000000,2189.58000000,2322.69000000
1625443200000,2322.69000000,2324.64000000,2157.32000000,2196.53000000
1625529600000,2196.85000000,2350.00000000,2193.00000000,2322.50000000
1625616000000,2322.51000000,2409.00000000,2291.90000000,2316.57000000
1625702400000,2316.25000000,2325.60000000,2084.79000000,2116.33000000
1625788800000,2116.32000000,2189.40000000,2046.51000000,2146.99000000
1625875200000,2146.99000000,2194.82000000,2074.16000000,2110.69000000
1625961600000,2110.68000000,2174.00000000,2081.02000000,2140.45000000
1626048000000,2140.54000000,2167.83000000,2006.68000000,2031.58000000
1626134400000,2031.57000000,2047.35000000,1918.00000000,1940.15000000
1626220800000,1940.44000000,2019.18000000,1865.00000000,1994.58000000
1626307200000,1994.41000000,2042.88000000,1881.00000000,1919.51000000
1626393600000,1919.54000000,1965.00000000,1850.00000000,1876.26000000
1626480000000,1876.47000000,1919.19000000,1844.45000000,1899.59000000
1626566400000,1899.50000000,1993.79000000,1877.10000000,1891.64000000
1626652800000,1891.65000000,1919.00000000,1805.00000000,1818.73000000
1626739200000,1818.73000000,1841.34000000,1706.00000000,1786.03000000
1626825600000,1786.03000000,2035.23000000,1747.55000000,1995.50000000
1626912000000,1995.50000000,2046.00000000,1947.62000000,2024.56000000
1626998400000,2024.27000000,2130.90000000,1993.22000000,2124.25000000
1627084800000,2124.26000000,2199.50000000,2105.58000000,2184.75000000
1627171200000,2184.90000000,2197.41000000,2105.93000000,2189.79000000
1627257600000,2189.82000000,2433.65000000,2171.57000000,2228.08000000
1627344000000,2227.81000000,2319.26000000,2150.50000000,2299.49000000
1627430400000,2299.47000000,2345.00000000,2243.15000000,2300.90000000
1627516800000,2300.90000000,2400.00000000,2266.12000000,2382.92000000
1627603200000,2382.93000000,2471.70000000,2315.92000000,2461.81000000
1627689600000,2461.77000000,2483.38000000,2420.68000000,2456.86000000
